Player,MIN,PTS,FGM,FGA,3PTM,3PTA,FTM,FTA,A,REB,ORB,DRB,TO,BLK,STL,PF,eFG%,TS%,A/TO,Usage Rate,Box +/-,Team,Opponent
Emanuel Prospere II,32.0,18.0,7.0,13.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0,0.0,1.0,3.0,0.62,0.63,0.5,27.5,0.09,Mo.-St. Louis,Bentley
Matt Enright,35.0,15.0,6.0,10.0,3.0,7.0,0.0,1.0,6.0,5.0,0.0,5.0,1.0,0.0,2.0,2.0,0.75,0.72,6.0,20.57,0.4,Mo.-St. Louis,Bentley
Janeir Harris,31.0,13.0,5.0,13.0,3.0,7.0,0.0,0.0,2.0,5.0,1.0,4.0,5.0,0.0,0.0,3.0,0.5,0.5,0.4,25.81,-0.03,Mo.-St. Louis,Bentley
Terrell Kabala,24.0,6.0,3.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.43,0.43,2.0,16.67,0.0,Mo.-St. Louis,Bentley
Mayson Quartlebaum,17.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,0.5,0.52,0.0,14.12,0.06,Mo.-St. Louis,Bentley
Troy Glover II,26.0,20.0,9.0,12.0,0.0,0.0,2.0,2.0,3.0,14.0,5.0,9.0,0.0,2.0,3.0,4.0,0.75,0.78,0.0,26.15,0.92,Mo.-St. Louis,Bentley
Kris O'Neal II,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,7.06,0.0,Mo.-St. Louis,Bentley
Sam Bledsoe,10.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-0.2,Mo.-St. Louis,Bentley
Christian Meeks,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,Mo.-St. Louis,Bentley
Georden Rogers,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-0.25,Mo.-St. Louis,Bentley
