Player,MIN,PTS,FGM,FGA,3PTM,3PTA,FTM,FTA,A,REB,ORB,DRB,TO,BLK,STL,PF,eFG%,TS%,A/TO,Usage Rate,Box +/-,Team,Opponent,Date
Matt Enright,36.0,22.0,9.0,15.0,0.0,5.0,4.0,5.0,2.0,4.0,1.0,3.0,1.0,0.0,2.0,4.0,0.6,0.64,2.0,25.56,0.14,UMSL,Cedarville,2023-11-04
Janeir Harris,38.0,14.0,5.0,11.0,0.0,3.0,4.0,5.0,3.0,4.0,0.0,4.0,1.0,2.0,1.0,2.0,0.45,0.53,3.0,21.05,0.13,UMSL,Cedarville,2023-11-04
Mayson Quartlebaum,24.0,13.0,6.0,10.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.65,0.65,0.0,18.33,0.29,UMSL,Cedarville,2023-11-04
Emanuel Prospere II,37.0,9.0,4.0,7.0,1.0,2.0,0.0,2.0,4.0,4.0,1.0,3.0,2.0,0.0,2.0,2.0,0.64,0.57,2.0,16.22,0.16,UMSL,Cedarville,2023-11-04
Terrell Kabala,23.0,6.0,2.0,6.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,0.5,0.5,2.0,15.65,0.04,UMSL,Cedarville,2023-11-04
Troy Glover II,16.0,6.0,2.0,3.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,6.0,1.0,1.0,1.0,2.0,0.67,0.63,0.0,20.0,0.25,UMSL,Cedarville,2023-11-04
Kris O'Neal II,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,0.33,18.18,0.09,UMSL,Cedarville,2023-11-04
Christian Meeks,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-0.12,UMSL,Cedarville,2023-11-04
Sam Bledsoe,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14,-0.43,UMSL,Cedarville,2023-11-04
Emanuel Prospere II,32.0,18.0,7.0,13.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0,0.0,1.0,3.0,0.62,0.63,0.5,27.5,0.09,UMSL,Bentley,2023-11-05
Matt Enright,35.0,15.0,6.0,10.0,3.0,7.0,0.0,1.0,6.0,5.0,0.0,5.0,1.0,0.0,2.0,2.0,0.75,0.72,6.0,20.57,0.4,UMSL,Bentley,2023-11-05
Janeir Harris,31.0,13.0,5.0,13.0,3.0,7.0,0.0,0.0,2.0,5.0,1.0,4.0,5.0,0.0,0.0,3.0,0.5,0.5,0.4,25.81,-0.03,UMSL,Bentley,2023-11-05
Terrell Kabala,24.0,6.0,3.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.43,0.43,2.0,16.67,0.0,UMSL,Bentley,2023-11-05
Mayson Quartlebaum,17.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,0.5,0.52,0.0,14.12,0.06,UMSL,Bentley,2023-11-05
Troy Glover II,26.0,20.0,9.0,12.0,0.0,0.0,2.0,2.0,3.0,14.0,5.0,9.0,0.0,2.0,3.0,4.0,0.75,0.78,0.0,26.15,0.92,UMSL,Bentley,2023-11-05
Kris O'Neal II,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.06,0.0,UMSL,Bentley,2023-11-05
Sam Bledsoe,10.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-0.2,UMSL,Bentley,2023-11-05
Christian Meeks,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMSL,Bentley,2023-11-05
Georden Rogers,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-0.25,UMSL,Bentley,2023-11-05
Terrell Kabala,29.0,17.0,5.0,8.0,5.0,7.0,2.0,2.0,0.0,5.0,0.0,5.0,1.0,1.0,0.0,5.0,0.94,0.96,0.0,15.17,0.24,UMSL,Winona St.,2023-11-16
Matt Enright,36.0,13.0,3.0,12.0,2.0,7.0,5.0,5.0,7.0,7.0,0.0,7.0,2.0,0.0,0.0,4.0,0.33,0.46,3.5,28.89,0.11,UMSL,Winona St.,2023-11-16
Emanuel Prospere II,33.0,10.0,4.0,9.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.56,0.56,0.33,15.76,-0.06,UMSL,Winona St.,2023-11-16
Janeir Harris,24.0,6.0,2.0,8.0,0.0,2.0,2.0,2.0,2.0,7.0,2.0,5.0,2.0,1.0,0.0,4.0,0.25,0.34,1.0,23.33,0.0,UMSL,Winona St.,2023-11-16
Mayson Quartlebaum,27.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.39,0.0,8.89,-0.04,UMSL,Winona St.,2023-11-16
Kris O'Neal II,16.0,10.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.5,1.33,0.0,17.5,0.31,UMSL,Winona St.,2023-11-16
Troy Glover II,21.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,5.0,2.0,2.0,1.0,2.0,0.75,0.75,0.5,13.33,0.38,UMSL,Winona St.,2023-11-16
Christian Meeks,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,0.0,UMSL,Winona St.,2023-11-16
Sam Bledsoe,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,-0.3,UMSL,Winona St.,2023-11-16
